shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_109,41.646720743389,-4.71665025632159,71329,5241
Route_109,41.6464080723814,-4.7163793532109,71330,5283
Route_109,41.6462717780891,-4.7162532893871,71331,5301
Route_109,41.646222683482,-4.71621279205576,71332,5307
Route_109,41.6461104418079,-4.71610282145111,71333,5323
Route_109,41.6456073573794,-4.71563611711714,71334,5391
Route_109,41.6452741604041,-4.715333515265,71335,5436
Route_109,41.6452460815401,-4.71529990413126,71336,5440
Route_109,41.6449534466674,-4.71501827218439,71337,5480
Route_109,41.6446752023957,-4.71476617130317,71338,5518
Route_109,41.6445521147278,-4.71467498953885,71339,5533
Route_109,41.6443087645885,-4.7145194348198,71340,5563
Route_109,41.6442771959279,-4.71449261272961,71341,5567
Route_109,41.6441719662053,-4.71438934768242,71342,5582
Route_109,41.644040679358,-4.7142632838586,71343,5600
Route_109,41.6440256464958,-4.71424853170899,71344,5602
Route_109,41.6440126180125,-4.71423243845489,71345,5604
Route_109,41.6440035982917,-4.71421366299176,71346,5606
Route_109,41.6439925741868,-4.71418147648355,71347,5608
Route_109,41.6439745347384,-4.71412112678066,71348,5614
Route_109,41.6439685215878,-4.71408089364539,71349,5617
Route_109,41.6439670365284,-4.7140498025144,71350,5620
Route_109,41.64397555408,-4.71401878178881,71351,5623
Route_109,41.6439812454252,-4.71400828833507,71352,5624
Route_109,41.6441621031013,-4.71366743001581,71353,5659
Route_109,41.6442015203004,-4.71359187431464,71354,5666
Route_109,41.6442203673694,-4.71355401328663,71355,5670
Route_109,41.6443687601825,-4.71325591201757,71356,5700
Route_109,41.644378372909,-4.71323660123877,71357,5702
Route_109,41.6444222125246,-4.71314853335362,71358,5711
Route_109,41.644557243742,-4.71286668956658,71359,5738
Route_109,41.6447139008045,-4.71256423521982,71360,5769
Route_109,41.6449163181035,-4.71214405692396,71361,5811
Route_109,41.6451536273797,-4.71166617072977,71362,5858
Route_109,41.645490715596,-4.71097363323345,71363,5927
Route_109,41.6454996170903,-4.71095534517212,71364,5929
Route_109,41.6455326980472,-4.71088738148924,71365,5936
Route_109,41.6456015145071,-4.7107459999678,71366,5950
Route_109,41.6456577080432,-4.71065878326383,71367,5959
Route_109,41.6457672138813,-4.71058322973323,71368,5973
Route_109,41.645927401417,-4.71047173455171,71369,5993
Route_109,41.646085531924,-4.71037545742525,71370,6012
Route_109,41.6463735205095,-4.71019843163019,71371,6047
Route_109,41.6468294143307,-4.7099324868793,71372,6102
Route_109,41.6470462752356,-4.70976808381874,71373,6129
Route_109,41.647520517753,-4.70939209122694,71374,6191
Route_109,41.647750692737,-4.70920857166701,71375,6221
Route_109,41.6487840317275,-4.70836485282884,71376,6355
Route_109,41.6487972919121,-4.7083540259196,71377,6357
Route_109,41.6488275100229,-4.70831576989728,71378,6362
Route_109,41.6489606509313,-4.70818665968269,71379,6380
Route_109,41.648974494122,-4.70817424760689,71380,6382
Route_109,41.6491482300492,-4.70804048442663,71381,6404
Route_109,41.6491674660752,-4.708025674129,71382,6407
Route_109,41.649177421877,-4.70801800893166,71383,6408
Route_109,41.6492837206114,-4.70793876301748,71384,6421
Route_109,41.6493185603019,-4.70790918291559,71385,6426
Route_109,41.6495610701259,-4.70772008717991,71386,6457
Route_109,41.6496916191648,-4.70761392768656,71387,6474
Route_109,41.6497254798425,-4.70759107109113,71388,6478
Route_109,41.6497645618192,-4.70756156679194,71389,6483
Route_109,41.6497996353676,-4.70753340359727,71390,6488
Route_109,41.6498622757068,-4.70749585987223,71391,6495
Route_109,41.6498860255805,-4.70748525849712,71392,6498
Route_109,41.6499451494398,-4.70745307198891,71393,6505
Route_109,41.6499892417741,-4.70743563763031,71394,6510
Route_109,41.6500613928016,-4.70741820327169,71395,6518
Route_109,41.6501275311722,-4.70741283885366,71396,6525
Route_109,41.6502087008982,-4.70740747443563,71397,6534
Route_109,41.6504371786395,-4.7074007689131,71398,6560
Route_109,41.6506826908783,-4.70738333455448,71399,6587
Route_109,41.6508818395845,-4.70737149866633,71400,6609
Route_109,41.6509281205167,-4.70737499873867,71401,6614
Route_109,41.6512097053817,-4.70736695211163,71402,6645
Route_109,41.6515448842585,-4.70734969911291,71403,6683
Route_109,41.6516265696223,-4.70734549443949,71404,6692
Route_109,41.6517175784108,-4.70734609146742,71405,6702
Route_109,41.6517337001257,-4.70734660661321,71406,6704
Route_109,41.6517467270477,-4.70734258329969,71407,6705
Route_109,41.6517627601788,-4.70732850170235,71408,6707
Route_109,41.6517747850246,-4.70731173789599,71409,6709
Route_109,41.6517777912358,-4.70728692746259,71410,6711
Route_109,41.6517802964116,-4.70725272929763,71411,6714
Route_109,41.6517812984819,-4.70720310843081,71412,6718
Route_109,41.6517812884312,-4.70707614867366,71413,6729
Route_109,41.6517811234,-4.70703696795415,71414,6732
Route_109,41.651772605802,-4.7065387476293,71415,6774
Route_109,41.651768096486,-4.70613440462003,71416,6807
Route_109,41.6517618460975,-4.70583458346925,71417,6832
Route_109,41.6517558336872,-4.70565219325611,71418,6848
Route_109,41.6517478171213,-4.70547784967003,71419,6862
Route_109,41.6517317839864,-4.70522572202245,71420,6883
Route_109,41.6517127446335,-4.70489983362692,71421,6910
Route_109,41.6517091802203,-4.70483757515842,71422,6916
Route_109,41.6517013855734,-4.70477962379307,71423,6921
Route_109,41.6516434873512,-4.70450173130971,71424,6945
Route_109,41.6516342462476,-4.70446526675865,71425,6948
Route_109,41.6516172110116,-4.70439150601068,71426,6955
Route_109,41.6516041840634,-4.70434054403935,71427,6959
Route_109,41.6515951654054,-4.70432445078527,71428,6961
Route_109,41.6515771280856,-4.70430165200862,71429,6964
Route_109,41.6515550824655,-4.70428824096354,71430,6966
Route_109,41.6515400513567,-4.70428421765,71431,6968
Route_109,41.6514837414825,-4.70428986302503,71432,6974
Route_109,41.6514704400478,-4.70428943054748,71433,6975
Route_109,41.6513625152342,-4.70429911849865,71434,6987
Route_109,41.6513609122311,-4.70429926239322,71435,6988
Route_109,41.6513060995177,-4.70430418269709,71436,6994
Route_109,41.6511798388406,-4.70431357042864,71437,7008
Route_109,41.6510024704992,-4.70433100478726,71438,7028
Route_109,41.6509453517766,-4.7043377103098,71439,7034
Route_109,41.6508601746403,-4.70434709804135,71440,7043
Route_109,41.6507827495385,-4.70435832799083,71441,7052
Route_109,41.6507133410181,-4.70437224017372,71442,7060
Route_109,41.6506885903308,-4.70437536662863,71443,7063
Route_109,41.6506174420941,-4.70439548319627,71444,7071
Route_109,41.650529258255,-4.7044142586594,71445,7081
Route_109,41.6504941851037,-4.70441828197293,71446,7085
Route_109,41.6504490910237,-4.70442230528645,71447,7090
Route_109,41.6503989867034,-4.70442901080899,71448,7095
Route_109,41.6503478800016,-4.70443571633152,71449,7101
Route_109,41.6503268360539,-4.70443571633152,71450,7103
Route_109,41.6502987775841,-4.70443303412251,71451,7106
Route_109,41.6502687147765,-4.70442766970448,71452,7110
Route_109,41.6502316372945,-4.70440889424134,71453,7114
Route_109,41.6501835367455,-4.70437938994216,71454,7120
Route_109,41.6501356961037,-4.70435113531286,71455,7126
Route_109,41.6500985823951,-4.70432976256041,71456,7130
Route_109,41.6499058264874,-4.70422430542307,71457,7154
Route_109,41.6497799149316,-4.70415541897432,71458,7169
Route_109,41.6495213722464,-4.7040078974784,71459,7200
Route_109,41.6493590309601,-4.70390329132674,71460,7220
Route_109,41.6490303416658,-4.70362970600704,71461,7263
Route_109,41.6488519652905,-4.70346877346603,71462,7287
Route_109,41.6485573445039,-4.70316568384714,71463,7328
Route_109,41.6482446821686,-4.70283845434711,71464,7372
Route_109,41.6479560732326,-4.70254341135527,71465,7413
Route_109,41.647765668291,-4.70236906776918,71466,7438
Route_109,41.6475939745113,-4.70221903771485,71467,7461
Route_109,41.6474292940352,-4.70207513604972,71468,7483
Route_109,41.6473981419585,-4.70203175927486,71469,7488
Route_109,41.647378099186,-4.70198616172157,71470,7492
Route_109,41.6473580564073,-4.70188960219697,71471,7501
Route_109,41.6473340050645,-4.70175549174615,71472,7512
Route_109,41.6472939198506,-4.70157578374203,71473,7528
