service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L26LJA1_L26_0930,0,0,0,0,0,0,0,20251205,20260130
L26LJA1_L26_1700,0,0,0,0,0,0,0,20251205,20260130
L26LJA1_L26_1800,0,0,0,0,0,0,0,20251205,20260130
L26LJA1C_L26_0830,0,0,0,0,0,0,0,20251120,20260223
L26LJA1C_L26_0930,0,0,0,0,0,0,0,20251120,20260223
L26LJA1C_L26_1700,0,0,0,0,0,0,0,20251120,20260223
L26LJA1C_L26_1800,0,0,0,0,0,0,0,20251120,20260223
L26L-VA1_L26_0830,0,0,0,0,0,0,0,20260107,20260217
L26L-VA1_L26_0930,0,0,0,0,0,0,0,20260107,20260217
L26L-VA1_L26_1500,0,0,0,0,0,0,0,20260107,20260217
L26L-VA1_L26_1600,0,0,0,0,0,0,0,20260107,20260217
L26VA1C_L26_0830,0,0,0,0,0,0,0,20251121,20260220
L26VA1C_L26_0930,0,0,0,0,0,0,0,20251121,20260220
L26VA1C_L26_1500,0,0,0,0,0,0,0,20251121,20260220
L26VA1C_L26_1600,0,0,0,0,0,0,0,20251121,20260220
L2A11SU_L2A1,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A10,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A11,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A2,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A3,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A4,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A5,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A6,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A7,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A8,0,0,0,0,0,0,0,20251120,20260223
L2A11SU_L2A9,0,0,0,0,0,0,0,20251120,20260223
L2A11U_L2A1,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A10,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A11,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A2,0,0,0,0,0,0,0,20260105,20260105
