service_id,date,exception_type
L6A9_L6A1,20250307,1
L6A9_L6A2,20250307,1
L6A9_L6A3,20250307,1
L6A9_L6A4,20250307,1
L6A9_L6A5,20250307,1
L6A9_L6A6,20250307,1
L6A9_L6A7,20250307,1
L6A9_L6A8,20250307,1
L6A9_L6A9,20250307,1
L6A9_L6A1,20250310,1
L6A9_L6A2,20250310,1
L6A9_L6A3,20250310,1
L6A9_L6A4,20250310,1
L6A9_L6A5,20250310,1
L6A9_L6A6,20250310,1
L6A9_L6A7,20250310,1
L6A9_L6A8,20250310,1
L6A9_L6A9,20250310,1
L6A9_L6A1,20250311,1
L6A9_L6A2,20250311,1
L6A9_L6A3,20250311,1
L6A9_L6A4,20250311,1
L6A9_L6A5,20250311,1
L6A9_L6A6,20250311,1
L6A9_L6A7,20250311,1
L6A9_L6A8,20250311,1
L6A9_L6A9,20250311,1
L6A9_L6A1,20250312,1
L6A9_L6A2,20250312,1
L6A9_L6A3,20250312,1
L6A9_L6A4,20250312,1
L6A9_L6A5,20250312,1
L6A9_L6A6,20250312,1
L6A9_L6A7,20250312,1
L6A9_L6A8,20250312,1
L6A9_L6A9,20250312,1
L6A9_L6A1,20250313,1
L6A9_L6A2,20250313,1
L6A9_L6A3,20250313,1
L6A9_L6A4,20250313,1
L6A9_L6A5,20250313,1
L6A9_L6A6,20250313,1
L6A9_L6A7,20250313,1
L6A9_L6A8,20250313,1
L6A9_L6A9,20250313,1
L6A9_L6A1,20250314,1
L6A9_L6A2,20250314,1
L6A9_L6A3,20250314,1
L6A9_L6A4,20250314,1
L6A9_L6A5,20250314,1
L6A9_L6A6,20250314,1
L6A9_L6A7,20250314,1
L6A9_L6A8,20250314,1
L6A9_L6A9,20250314,1
L6A9_L6A1,20250317,1
L6A9_L6A2,20250317,1
L6A9_L6A3,20250317,1
L6A9_L6A4,20250317,1
L6A9_L6A5,20250317,1
L6A9_L6A6,20250317,1
L6A9_L6A7,20250317,1
L6A9_L6A8,20250317,1
L6A9_L6A9,20250317,1
L6A9_L6A1,20250318,1
L6A9_L6A2,20250318,1
L6A9_L6A3,20250318,1
L6A9_L6A4,20250318,1
L6A9_L6A5,20250318,1
L6A9_L6A6,20250318,1
L6A9_L6A7,20250318,1
L6A9_L6A8,20250318,1
L6A9_L6A9,20250318,1
L6A9_L6A1,20250319,1
L6A9_L6A2,20250319,1
L6A9_L6A3,20250319,1
L6A9_L6A4,20250319,1
L6A9_L6A5,20250319,1
L6A9_L6A6,20250319,1
L6A9_L6A7,20250319,1
L6A9_L6A8,20250319,1
L6A9_L6A9,20250319,1
L6A9_L6A1,20250320,1
L6A9_L6A2,20250320,1
L6A9_L6A3,20250320,1
L6A9_L6A4,20250320,1
L6A9_L6A5,20250320,1
L6A9_L6A6,20250320,1
L6A9_L6A7,20250320,1
L6A9_L6A8,20250320,1
L6A9_L6A9,20250320,1
L6A9_L6A1,20250321,1
L6A9_L6A2,20250321,1
L6A9_L6A3,20250321,1
L6A9_L6A4,20250321,1
L6A9_L6A5,20250321,1
L6A9_L6A6,20250321,1
L6A9_L6A7,20250321,1
L6A9_L6A8,20250321,1
L6A9_L6A9,20250321,1
L6A9_L6A1,20250324,1
L6A9_L6A2,20250324,1
L6A9_L6A3,20250324,1
L6A9_L6A4,20250324,1
L6A9_L6A5,20250324,1
L6A9_L6A6,20250324,1
L6A9_L6A7,20250324,1
L6A9_L6A8,20250324,1
L6A9_L6A9,20250324,1
L6A9_L6A1,20250325,1
L6A9_L6A2,20250325,1
L6A9_L6A3,20250325,1
L6A9_L6A4,20250325,1
L6A9_L6A5,20250325,1
L6A9_L6A6,20250325,1
L6A9_L6A7,20250325,1
L6A9_L6A8,20250325,1
L6A9_L6A9,20250325,1
L6A9_L6A1,20250326,1
L6A9_L6A2,20250326,1
L6A9_L6A3,20250326,1
L6A9_L6A4,20250326,1
L6A9_L6A5,20250326,1
L6A9_L6A6,20250326,1
L6A9_L6A7,20250326,1
L6A9_L6A8,20250326,1
L6A9_L6A9,20250326,1
L6A9_L6A1,20250327,1
L6A9_L6A2,20250327,1
L6A9_L6A3,20250327,1
L6A9_L6A4,20250327,1
L6A9_L6A5,20250327,1
L6A9_L6A6,20250327,1
L6A9_L6A7,20250327,1
L6A9_L6A8,20250327,1
L6A9_L6A9,20250327,1
L6A9_L6A1,20250328,1
L6A9_L6A2,20250328,1
L6A9_L6A3,20250328,1
L6A9_L6A4,20250328,1
L6A9_L6A5,20250328,1
L6A9_L6A6,20250328,1
L6A9_L6A7,20250328,1
L6A9_L6A8,20250328,1
L6A9_L6A9,20250328,1
L6A9_L6A1,20250331,1
L6A9_L6A2,20250331,1
L6A9_L6A3,20250331,1
L6A9_L6A4,20250331,1
L6A9_L6A5,20250331,1
L6A9_L6A6,20250331,1
L6A9_L6A7,20250331,1
L6A9_L6A8,20250331,1
L6A9_L6A9,20250331,1
L6A9_L6A1,20250401,1
L6A9_L6A2,20250401,1
L6A9_L6A3,20250401,1
L6A9_L6A4,20250401,1
L6A9_L6A5,20250401,1
L6A9_L6A6,20250401,1
L6A9_L6A7,20250401,1
L6A9_L6A8,20250401,1
L6A9_L6A9,20250401,1
L6A9_L6A1,20250402,1
L6A9_L6A2,20250402,1
L6A9_L6A3,20250402,1
L6A9_L6A4,20250402,1
L6A9_L6A5,20250402,1
L6A9_L6A6,20250402,1
L6A9_L6A7,20250402,1
L6A9_L6A8,20250402,1
L6A9_L6A9,20250402,1
L6A9_L6A1,20250403,1
L6A9_L6A2,20250403,1
